qid,P101,S854
Q16016311,Q82604,"""http://www.odis.be/lnk/PS_124562"""
Q87649560,Q82604,"""http://www.odis.be/lnk/PS_122679"""
Q5003477,Q82604,"""http://www.odis.be/lnk/PS_99089"""
Q2299826,Q82604,"""http://www.odis.be/lnk/PS_86147"""
Q115711,Q82604,"""http://www.odis.be/lnk/PS_99096"""
Q87649569,Q82604,"""http://www.odis.be/lnk/PS_118796"""
Q16230795,Q82604,"""http://www.odis.be/lnk/PS_86125"""
Q42529295,Q82604,"""http://www.odis.be/lnk/PS_64578"""
Q1409014,Q82604,"""http://www.odis.be/lnk/PS_94583"""
Q2140838,Q82604,"""http://www.odis.be/lnk/PS_99159"""
Q28659145,Q82604,"""http://www.odis.be/lnk/PS_96843"""
Q49633486,Q82604,"""http://www.odis.be/lnk/PS_99174"""
Q2352918,Q82604,"""http://www.odis.be/lnk/PS_99176"""
Q87649629,Q82604,"""http://www.odis.be/lnk/PS_119572"""
Q87651818,Q82604,"""http://www.odis.be/lnk/PS_119582"""
Q87649657,Q82604,"""http://www.odis.be/lnk/PS_96567"""
Q49633199,Q82604,"""http://www.odis.be/lnk/PS_99197"""
Q87649667,Q82604,"""http://www.odis.be/lnk/PS_126712"""
Q87649693,Q82604,"""http://www.odis.be/lnk/PS_136556"""
Q87649716,Q82604,"""http://www.odis.be/lnk/PS_105737"""
Q2554704,Q82604,"""http://www.odis.be/lnk/PS_87549"""
Q87649729,Q82604,"""http://www.odis.be/lnk/PS_130015"""
Q87649737,Q82604,"""http://www.odis.be/lnk/PS_133803"""
Q87649740,Q82604,"""http://www.odis.be/lnk/PS_105891"""
Q87649741,Q82604,"""http://www.odis.be/lnk/PS_105890"""
Q16220796,Q82604,"""http://www.odis.be/lnk/PS_95010"""
Q2792172,Q82604,"""http://www.odis.be/lnk/PS_105031"""
Q52224474,Q82604,"""http://www.odis.be/lnk/PS_99282"""
Q42307385,Q82604,"""http://www.odis.be/lnk/PS_133163"""
Q76883276,Q82604,"""http://www.odis.be/lnk/PS_99346"""
Q87649761,Q82604,"""http://www.odis.be/lnk/PS_110626"""
Q87649762,Q82604,"""http://www.odis.be/lnk/PS_112919"""
Q52224971,Q82604,"""http://www.odis.be/lnk/PS_128644"""
Q2318074,Q82604,"""http://www.odis.be/lnk/PS_119926"""
Q2019596,Q82604,"""http://www.odis.be/lnk/PS_99888"""
Q154083,Q82604,"""http://www.odis.be/lnk/PS_79013"""
Q87651848,Q82604,"""http://www.odis.be/lnk/PS_17206"""
Q2771014,Q82604,"""http://www.odis.be/lnk/PS_60334"""
Q87649895,Q82604,"""http://www.odis.be/lnk/PS_73138"""
Q16439023,Q82604,"""http://www.odis.be/lnk/PS_73137"""
Q87651861,Q82604,"""http://www.odis.be/lnk/PS_127843"""
Q44281657,Q82604,"""http://www.odis.be/lnk/PS_11030"""
Q21970626,Q82604,"""http://www.odis.be/lnk/PS_62333"""
Q47092190,Q82604,"""http://www.odis.be/lnk/PS_60473"""
Q87649927,Q82604,"""http://www.odis.be/lnk/PS_87506"""
Q44156256,Q82604,"""http://www.odis.be/lnk/PS_60484"""
Q87649932,Q82604,"""http://www.odis.be/lnk/PS_60340"""
Q47075132,Q82604,"""http://www.odis.be/lnk/PS_60474"""
Q5241499,Q12271,"""http://www.odis.be/lnk/PS_102166"""
Q11009945,Q12271,"""http://www.odis.be/lnk/PS_73135"""
Q2803415,Q12271,"""http://www.odis.be/lnk/PS_79073"""
Q87648562,Q12271,"""http://www.odis.be/lnk/PS_106471"""
Q87648565,Q12271,"""http://www.odis.be/lnk/PS_2751"""
Q2477283,Q12271,"""http://www.odis.be/lnk/PS_86168"""
Q2051029,Q12271,"""http://www.odis.be/lnk/PS_87279"""
Q16020965,Q12271,"""http://www.odis.be/lnk/PS_97372"""
Q3261031,Q12271,"""http://www.odis.be/lnk/PS_102404"""
Q274317,Q12271,"""http://www.odis.be/lnk/PS_97376"""
Q1947655,Q12271,"""http://www.odis.be/lnk/PS_97374"""
Q5920533,Q12271,"""http://www.odis.be/lnk/PS_85763"""
Q3470940,Q12271,"""http://www.odis.be/lnk/PS_97380"""
Q2018514,Q12271,"""http://www.odis.be/lnk/PS_97382"""
Q78771326,Q12271,"""http://www.odis.be/lnk/PS_102018"""
Q21644737,Q12271,"""http://www.odis.be/lnk/PS_102757"""
Q49633808,Q12271,"""http://www.odis.be/lnk/PS_99380"""
Q76659699,Q12271,"""http://www.odis.be/lnk/PS_108826"""
Q3438664,Q12271,"""http://www.odis.be/lnk/PS_99381"""
Q17428212,Q12271,"""http://www.odis.be/lnk/PS_99382"""
Q17428389,Q12271,"""http://www.odis.be/lnk/PS_97394"""
Q16644510,Q12271,"""http://www.odis.be/lnk/PS_79072"""
Q1813486,Q12271,"""http://www.odis.be/lnk/PS_79091"""
Q2641330,Q12271,"""http://www.odis.be/lnk/PS_86189"""
Q52224555,Q12271,"""http://www.odis.be/lnk/PS_77732"""
Q2074447,Q12271,"""http://www.odis.be/lnk/PS_72579"""
Q87648569,Q12271,"""http://www.odis.be/lnk/PS_88269"""
Q87648571,Q12271,"""http://www.odis.be/lnk/PS_106304"""
Q87648572,Q12271,"""http://www.odis.be/lnk/PS_103693"""
Q87648574,Q12271,"""http://www.odis.be/lnk/PS_106308"""
Q3188415,Q12271,"""http://www.odis.be/lnk/PS_97406"""
Q87648576,Q12271,"""http://www.odis.be/lnk/PS_113235"""
Q87648577,Q12271,"""http://www.odis.be/lnk/PS_97410"""
Q87648579,Q12271,"""http://www.odis.be/lnk/PS_97416"""
Q6281377,Q12271,"""http://www.odis.be/lnk/PS_97414"""
Q3438674,Q12271,"""http://www.odis.be/lnk/PS_97003"""
Q3379147,Q12271,"""http://www.odis.be/lnk/PS_126608"""
Q87648581,Q12271,"""http://www.odis.be/lnk/PS_102802"""
Q1855119,Q12271,"""http://www.odis.be/lnk/PS_97426"""
Q76883208,Q12271,"""http://www.odis.be/lnk/PS_97432"""
Q65619257,Q12271,"""http://www.odis.be/lnk/PS_97434"""
Q2895936,Q12271,"""http://www.odis.be/lnk/PS_97438"""
Q28582328,Q12271,"""http://www.odis.be/lnk/PS_88579"""
Q87648586,Q12271,"""http://www.odis.be/lnk/PS_112534"""
Q87651745,Q12271,"""http://www.odis.be/lnk/PS_97450"""
Q28608050,Q12271,"""http://www.odis.be/lnk/PS_97452"""
Q87648587,Q12271,"""http://www.odis.be/lnk/PS_97458"""
Q87648588,Q12271,"""http://www.odis.be/lnk/PS_78973"""
Q2083665,Q12271,"""http://www.odis.be/lnk/PS_97464"""
Q87648590,Q12271,"""http://www.odis.be/lnk/PS_96942"""
Q2541120,Q12271,"""http://www.odis.be/lnk/PS_72580"""
Q1913841,Q12271,"""http://www.odis.be/lnk/PS_96760"""
Q87648592,Q12271,"""http://www.odis.be/lnk/PS_96756"""
Q2423927,Q12271,"""http://www.odis.be/lnk/PS_96755"""
Q76883162,Q12271,"""http://www.odis.be/lnk/PS_96761"""
Q87648594,Q12271,"""http://www.odis.be/lnk/PS_97474"""
Q87648597,Q12271,"""http://www.odis.be/lnk/PS_65903"""
Q2630238,Q12271,"""http://www.odis.be/lnk/PS_97476"""
Q87648598,Q12271,"""http://www.odis.be/lnk/PS_97478"""
Q76882963,Q12271,"""http://www.odis.be/lnk/PS_97480"""
Q86345620,Q12271,"""http://www.odis.be/lnk/PS_99405"""
Q538999,Q12271,"""http://www.odis.be/lnk/PS_97482"""
Q76827684,Q12271,"""http://www.odis.be/lnk/PS_97484"""
Q2825128,Q12271,"""http://www.odis.be/lnk/PS_86059"""
Q3130695,Q12271,"""http://www.odis.be/lnk/PS_86122"""
Q3271482,Q12271,"""http://www.odis.be/lnk/PS_86060"""
Q87648601,Q12271,"""http://www.odis.be/lnk/PS_86121"""
Q2392852,Q12271,"""http://www.odis.be/lnk/PS_86157"""
Q3141911,Q12271,"""http://www.odis.be/lnk/PS_88447"""
Q87648604,Q12271,"""http://www.odis.be/lnk/PS_97498"""
Q3069057,Q12271,"""http://www.odis.be/lnk/PS_78082"""
Q49633335,Q12271,"""http://www.odis.be/lnk/PS_97504"""
Q2839712,Q12271,"""http://www.odis.be/lnk/PS_97508"""
Q1807109,Q12271,"""http://www.odis.be/lnk/PS_97506"""
Q87648605,Q12271,"""http://www.odis.be/lnk/PS_85769"""
Q26271713,Q12271,"""http://www.odis.be/lnk/PS_97516"""
Q5480284,Q12271,"""http://www.odis.be/lnk/PS_97518"""
Q16039732,Q12271,"""http://www.odis.be/lnk/PS_79235"""
Q53913367,Q12271,"""http://www.odis.be/lnk/PS_87653"""
Q2949406,Q12271,"""http://www.odis.be/lnk/PS_86178"""
Q3122890,Q12271,"""http://www.odis.be/lnk/PS_86068"""
Q87648609,Q12271,"""http://www.odis.be/lnk/PS_88323"""
Q87648611,Q12271,"""http://www.odis.be/lnk/PS_97530"""
Q87648613,Q12271,"""http://www.odis.be/lnk/PS_97310"""
Q87648614,Q12271,"""http://www.odis.be/lnk/PS_99417"""
Q52220148,Q12271,"""http://www.odis.be/lnk/PS_96928"""
Q291159,Q12271,"""http://www.odis.be/lnk/PS_79056"""
Q76659829,Q12271,"""http://www.odis.be/lnk/PS_97546"""
Q2500736,Q12271,"""http://www.odis.be/lnk/PS_87361"""
Q87648615,Q12271,"""http://www.odis.be/lnk/PS_97548"""
Q87648616,Q12271,"""http://www.odis.be/lnk/PS_113197"""
Q87648618,Q12271,"""http://www.odis.be/lnk/PS_105011"""
Q3383161,Q12271,"""http://www.odis.be/lnk/PS_79261"""
Q87648619,Q12271,"""http://www.odis.be/lnk/PS_97311"""
Q1965216,Q12271,"""http://www.odis.be/lnk/PS_66145"""
Q87648656,Q12271,"""http://www.odis.be/lnk/PS_99431"""
Q87648659,Q12271,"""http://www.odis.be/lnk/PS_99430"""
Q1952472,Q12271,"""http://www.odis.be/lnk/PS_86089"""
Q132142,Q12271,"""http://www.odis.be/lnk/PS_97562"""
Q16676871,Q12271,"""http://www.odis.be/lnk/PS_97564"""
Q87648661,Q12271,"""http://www.odis.be/lnk/PS_113239"""
Q87648662,Q12271,"""http://www.odis.be/lnk/PS_97211"""
Q87648663,Q12271,"""http://www.odis.be/lnk/PS_97572"""
Q49633273,Q12271,"""http://www.odis.be/lnk/PS_86155"""
Q1899033,Q12271,"""http://www.odis.be/lnk/PS_79003"""
Q2390196,Q12271,"""http://www.odis.be/lnk/PS_72324"""
Q87648665,Q12271,"""http://www.odis.be/lnk/PS_87362"""
Q87648666,Q12271,"""http://www.odis.be/lnk/PS_99436"""
Q87648667,Q12271,"""http://www.odis.be/lnk/PS_113242"""
Q87648668,Q12271,"""http://www.odis.be/lnk/PS_102830"""
Q87648670,Q12271,"""http://www.odis.be/lnk/PS_103375"""
Q87648674,Q12271,"""http://www.odis.be/lnk/PS_99899"""
Q14100197,Q12271,"""http://www.odis.be/lnk/PS_85775"""
Q3257089,Q12271,"""http://www.odis.be/lnk/PS_85774"""
Q2466218,Q12271,"""http://www.odis.be/lnk/PS_85776"""
Q87648675,Q12271,"""http://www.odis.be/lnk/PS_101823"""
Q87648676,Q12271,"""http://www.odis.be/lnk/PS_105953"""
Q87648677,Q12271,"""http://www.odis.be/lnk/PS_105954"""
Q87648678,Q12271,"""http://www.odis.be/lnk/PS_105955"""
Q87648679,Q12271,"""http://www.odis.be/lnk/PS_113243"""
Q14084069,Q12271,"""http://www.odis.be/lnk/PS_99441"""
Q87648682,Q12271,"""http://www.odis.be/lnk/PS_113244"""
Q16222691,Q12271,"""http://www.odis.be/lnk/PS_97588"""
Q2584930,Q12271,"""http://www.odis.be/lnk/PS_113245"""
Q49633521,Q12271,"""http://www.odis.be/lnk/PS_86167"""
Q87648683,Q12271,"""http://www.odis.be/lnk/PS_113198"""
Q87648685,Q12271,"""http://www.odis.be/lnk/PS_105952"""
Q87648687,Q12271,"""http://www.odis.be/lnk/PS_99443"""
Q30758494,Q12271,"""http://www.odis.be/lnk/PS_97592"""
Q87648688,Q12271,"""http://www.odis.be/lnk/PS_77696"""
Q87648690,Q12271,"""http://www.odis.be/lnk/PS_113246"""
Q22955381,Q12271,"""http://www.odis.be/lnk/PS_88601"""
Q28596097,Q12271,"""http://www.odis.be/lnk/PS_88614"""
Q87648691,Q12271,"""http://www.odis.be/lnk/PS_85782"""
Q2632161,Q12271,"""http://www.odis.be/lnk/PS_85783"""
Q87648692,Q12271,"""http://www.odis.be/lnk/PS_88290"""
Q3300530,Q12271,"""http://www.odis.be/lnk/PS_85784"""
Q38025192,Q12271,"""http://www.odis.be/lnk/PS_87363"""
Q87648694,Q12271,"""http://www.odis.be/lnk/PS_113248"""
Q87648695,Q12271,"""http://www.odis.be/lnk/PS_113247"""
Q87648696,Q12271,"""http://www.odis.be/lnk/PS_96767"""
Q2339568,Q12271,"""http://www.odis.be/lnk/PS_86130"""
Q87648697,Q12271,"""http://www.odis.be/lnk/PS_77697"""
Q87648698,Q12271,"""http://www.odis.be/lnk/PS_97610"""
Q87648699,Q12271,"""http://www.odis.be/lnk/PS_99447"""
Q87648701,Q12271,"""http://www.odis.be/lnk/PS_97616"""
Q2830757,Q12271,"""http://www.odis.be/lnk/PS_86067"""
Q2835010,Q12271,"""http://www.odis.be/lnk/PS_86056"""
Q49633253,Q12271,"""http://www.odis.be/lnk/PS_86115"""
Q19574360,Q12271,"""http://www.odis.be/lnk/PS_101519"""
Q2831032,Q12271,"""http://www.odis.be/lnk/PS_79086"""
Q87648705,Q12271,"""http://www.odis.be/lnk/PS_99941"""
Q327014,Q12271,"""http://www.odis.be/lnk/PS_97630"""
Q21589900,Q12271,"""http://www.odis.be/lnk/PS_97632"""
Q87648706,Q12271,"""http://www.odis.be/lnk/PS_73755"""
Q2610498,Q12271,"""http://www.odis.be/lnk/PS_102767"""
Q87648707,Q12271,"""http://www.odis.be/lnk/PS_97638"""
Q87648708,Q12271,"""http://www.odis.be/lnk/PS_97640"""
Q87648709,Q12271,"""http://www.odis.be/lnk/PS_99456"""
Q87648711,Q12271,"""http://www.odis.be/lnk/PS_97654"""
